,ACCT_STREET_ADDR,NEW ADDRESS
4039,16769 BERNARDO CENTER DR # K8,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['ALNUM']]),"
4040,481 BYPASS 72 NW STE 101,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['DIR'], ['APT'], ['DIGIT']]),"
4076,982 N BATAVIA ST STE B-8,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['LETTER'], ['DIGIT']]),"
4101,2367 W 208TH ST UNIT D1 & D2,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['ALNUM'], [], ['ALNUM']]),"
4111,18811 90TH AVE STE F,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['LETTER']]),"
4139,1611 E CAPITOL EXPY STE 206,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['APT'], ['DIGIT']]),"
4143,1525 THE GREENS WAY # A,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]),"
4169,1900 RURAL ROUTE 620  S,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR']]),"
4226,870 W EL MONTE WAY STE L,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
4264,4929 LANKERSHIM BLVD UNITS A & B,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['LETTER'], [], ['LETTER']]),"
4292,500 N PACIFIC HWY # 99E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['AL_1NUM', 'NUMSTR']]),"
4395,6000 SEPULVEDA BLVD 1F 172,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['AL_1NUM', 'NUMSTR'], ['DIGIT']]),"
4449,2535-2537 E SOMERSET ST,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE']]),"
4477,351 BLANKENSHIP ROAD LEDBETTER K,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['LETTER']]),"
4493,28120 AVENUE CROCKER # 222,"("""", [['DIGIT'], ['WAY'], ['ALPHA'], ['POUND'], ['DIGIT']]),"
4500,352-A RITCHIE HWY,"("""", [['DIGIT'], ['LETTER'], ['ALPHA'], ['WAY']]),"
4539,3910 W 6TH AVE # 313,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['POUND'], ['DIGIT']]),"
4556,10000 COORS BLVD BYP NW,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['DIR']]),"
4606,2001 SOUTH ROAD SUITE A - 128,"("""", [['DIGIT'], ['DIR'], ['WAY'], ['APT'], ['LETTER'], ['DIGIT']]),"
4652,201 S I-45 STEA,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['LETTER'], ['DIGIT'], ['ALPHA']]),"
4660,224 ATLANTIC AVE UNIT COA,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['ALPHA']]),"
4829,9238 N LOOP 1504  W,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['LETTER', 'DIR']]),"
4846,14 HOWARD ST BLDG A-1,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['ALPHA'], ['LETTER'], ['DIGIT']]),"
4849,1657 THE FAIRWAY 180,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['DIGIT']]),"
4936,704 228TH AVE NE # 912,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['DIR'], ['POUND'], ['DIGIT']]),"
4969,1525-A THE GREENS WAY,"("""", [['DIGIT'], ['LETTER'], ['ARTI'], ['ALPHA'], ['WAY']]),"
5077,27281 LA PAZ RD STE Q,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
5098,34 W 65TH ST APT 6E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
5151,185 E PASEO DEL CENTRO,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ARTI'], ['ALPHA']]),"
5160,6334 FM 2920 RD STE 110,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['WAY'], ['APT'], ['DIGIT']]),"
5178,141 BRIDGE RD # 108-108C,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT'], ['AL_1NUM', 'NUMSTR']]),"
5189,4120 MAIN AT NORTH HILLS ST,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIR'], ['ALPHA'], ['WAY', 'PRE']]),"
5199,261-267 CANAL STREET STA 8,"("""", [['DIGIT'], ['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['DIGIT']]),"
5213,10011 ESTERO TOWN COMMONS PL STE 104A,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
5225,3410 LA SIERRA F383,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['ALNUM']]),"
5244,201K ALSTON BLVD STE 119,"("""", [['AL_1NUM', 'NUMSTR'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]),"
5249,316-322 12TH ST,"("""", [['DIGIT'], ['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
5251,105 17THE AVE NW,"("""", [['DIGIT'], ['NUMSTR'], ['WAY'], ['DIR']]),"
5268,80250 US HIGHWAY 111 STE A101,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['ALNUM']]),"
5279,5140 N HAYDEB RD STEH-115,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['ALPHA'], ['DIGIT']]),"
5294,4680 STATE HIGHWAY 74 C,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER']]),"
5343,3079 RT 27 SUITE-A,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['APT'], ['LETTER']]),"
5363,3933 CENTRAL EXPY # 200,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['POUND'], ['DIGIT']]),"
5398,20 1ST AVE # 1FL,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['POUND'], ['NUMSTR']]),"
5426,8150 W AVENUE E # K-8,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['WAY'], ['LETTER', 'DIR'], ['POUND'], ['LETTER'], ['DIGIT']]),"
5440,15N454 IL ROUTE 47,"("""", [['ALNUM'], ['ALPHA'], ['WAY'], ['DIGIT']]),"
5481,23971 CLINTON KEITH RD # A-101,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER'], ['DIGIT']]),"
5555,8501 W BOWLES AVE # K55D06,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['ALNUM']]),"
5583,3393 PEACHTREE RD NE # 5025A,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['POUND'], ['AL_1NUM', 'NUMSTR']]),"
5584,14239 W BELL RD S 213,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['DIGIT']]),"
5596,4400 S BROADWAY STE 105,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['APT'], ['DIGIT']]),"
5710,1812-14 W IRVING PARK RD,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['WAY']]),"
5738,1169 HIGHWAY 20 81,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['DIGIT']]),"
5758,70 PARK AVE W,"("""", [['DIGIT'], ['WAY'], ['WAY'], ['LETTER', 'DIR']]),"
5778,9250 W 10TH ST # B,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['LETTER']]),"
5798,19565 E WALNUT DR S B6,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['ALNUM']]),"
5814,9955 SW BVRTN/HLSDL 140,"("""", [['DIGIT'], ['DIR'], [], ['DIGIT']]),"
5863,1283 M 32 W,"("""", [['DIGIT'], ['LETTER'], ['DIGIT'], ['LETTER', 'DIR']]),"
5865,2131 PLEASANT HILL RD # STE101,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['POUND'], ['ALNUM']]),"
5901,2626 S LOOP W STE 670,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
5919,1356 BIG BEND SQUARE SHOP CTR,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['ALPHA'], ['WAY']]),"
5930,6500 HOLLY AVE NE STE A-1,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['LETTER'], ['DIGIT']]),"
5933,205 US HIGHWAY 1 BYP S,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['ALPHA'], ['LETTER', 'DIR']]),"
5956,1803 E ST NW,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['WAY', 'PRE'], ['DIR']]),"
5975,70 S VAL VISTA DR STE A3,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]),"
6008,2841 GREENBRIAR PKWY SW # N4,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['POUND'], ['ALNUM']]),"
6025,6215 VIA LA CANTERA APT 421,"("""", [['DIGIT'], ['ALPHA'], ['ARTI'], ['ALPHA'], ['APT'], ['DIGIT']]),"
6028,1111 EL CAMINO REAL 109-153,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['ALPHA'], ['DIGIT'], ['DIGIT']]),"
6047,12251 W 87TH STREET PKWY,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['WAY']]),"
6101,6635 W HAPPY VALLEY RD # 107,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
6140,27001 US HIGHWAY 19 N STE 2089A,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
6143,11990 HIGHWAY 17 BYP 1,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALPHA'], ['DIGIT']]),"
6144,S69 W15459 JAMESVILLE RD,"("""", [['ALNUM'], ['ALNUM'], ['ALPHA'], ['WAY']]),"
6145,5406 RKLN CROSSING DR STE103,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['ALNUM']]),"
6200,N 80 W 149 APPLETON AVE,"("""", [['LETTER', 'DIR'], ['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
6294,2495 N NC 16 BUSINESS HWY,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
6304,5401 FM 1626 STE 170-222,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['APT'], ['DIGIT'], ['DIGIT']]),"
6362,4150 REGENTS PARK ROW STE 170,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['APT'], ['DIGIT']]),"
6372,663 S RANCHO SANTA FE RD # 120,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['PRE'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
6434,2635 W LAKE VAN NESS CIR,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
6436,8000 MADISON BLVD STE C 105,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER'], ['DIGIT']]),"
6463,232 BROADWAY UNIT 1,"("""", [['DIGIT'], ['ALPHA'], ['APT'], ['DIGIT']]),"
6485,621 GADSDEN ST STE BCD,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['ALPHA']]),"
6525,8137 NW 17TH MNR,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['ALPHA']]),"
6529,2211 N NEW HOPE RD STE E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER', 'DIR']]),"
6567,162 S RANCHO SANTA FE RD STE C10,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['PRE'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]),"
6619,1785 W ARROW RTE STE E3,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['APT'], ['ALNUM']]),"
6648,318 VIA DEL  N,"("""", [['DIGIT'], ['ALPHA'], ['ARTI'], ['LETTER', 'DIR']]),"
6679,1816 W 6TH ST # C-5,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['LETTER'], ['DIGIT']]),"
6689,3151 E NATIONWAY UNIT G,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['APT'], ['LETTER']]),"
6711,4620 FM 1960 RD W,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['WAY'], ['LETTER', 'DIR']]),"
6725,814 MISSION ST # 100A,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['AL_1NUM', 'NUMSTR']]),"
6747,14 WELLINGTON LN CO DUCKSTEIN,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DELEG'], ['ALPHA']]),"
6837,3194 DE LA CRUZ BLVD STE 12,"("""", [['DIGIT'], ['ARTI'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]),"
6886,1801 REDONDO CIR UNIT,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT']]),"
6892,748 S MAIN ST BSMT,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['ALPHA']]),"
6895,340 PARK AVE SW,"("""", [['DIGIT'], ['WAY'], ['WAY'], ['DIR']]),"
6941,340 SANTA MONICA PIER,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['ALPHA']]),"
6998,8390 E VIA DE VENTURA STE F110,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ARTI'], ['ALPHA'], ['APT'], ['ALNUM']]),"
7002,2202 NEW YORK AVE # 201A,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['AL_1NUM', 'NUMSTR']]),"
7028,1280 1ST ST STE E,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['LETTER', 'DIR']]),"
7103,643 SW 15TH ST UNIT B,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['LETTER']]),"
7159,760 N TWIN OAKS VALLEY RD STE D,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
7173,MANSFIELD SQUARE 3324 RT 206 N,"("""", [['ALPHA'], ['WAY'], ['DIGIT'], ['ALPHA'], ['DIGIT'], ['LETTER', 'DIR']]),"
7181,16120 SAN CARLOS BLVD STE 7A,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['WAY'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
7219,146 W 29TH ST RM 3RE,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['NUMSTR']]),"
7227,3245 MAIN STREET 235 - 506,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['DIGIT']]),"
7264,484 WASHINGTON ST STE B-,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['LETTER']]),"
7268,41474 HIGHWAY 41 WADSWORTH,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALPHA']]),"
7284,2011 MARTIN LUTHER KING JR AVE SE,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]),"
7317,22014 MARINE VIEW DR S # 101,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['POUND'], ['DIGIT']]),"
7401,2350 WASHINGTON PL NE APT 109N,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
7403,3420 10 10 RD STE314,"("""", [['DIGIT'], ['DIGIT'], ['DIGIT'], ['WAY'], ['ALNUM']]),"
7452,17503 LA CANTERA PKWY STE 104-453,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['DIGIT']]),"
7552,154 BEACH 120TH ST,"("""", [['DIGIT'], ['ALPHA'], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
7568,33 MARNE ST REAR,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['ALPHA']]),"
7618,17803 LA CANTERA TERR 1101,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['ALPHA'], ['DIGIT']]),"
7626,17300 RED HILL AVE ST 190,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['WAY', 'PRE'], ['DIGIT']]),"
7648,9030-9040 LAS TUNAS DR,"("""", [['DIGIT'], ['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY']]),"
7660,360 N BEDFORD DR LBBY,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT']]),"
7742,4290 S HWY 27 201,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['WAY'], ['DIGIT'], ['DIGIT']]),"
7755,310 E MONTGOMRY XRD STE16,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALNUM']]),"
7769,1806 STATE ROUTE 35 STE 110F,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
7781,5810 E SAM HOUSTON PKWY N,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR']]),"
7799,7100 FOUNDRY ROW STE S-226,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['APT'], ['LETTER', 'DIR'], ['DIGIT']]),"
7857,391 E LOS COLINAS BLVD E 13063,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ARTI'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['DIGIT']]),"
7885,3845 S 103RD EAST AVE STE 100,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['DIR'], ['WAY'], ['APT'], ['DIGIT']]),"
7896,12238 1 4 MICHIGAN ST,"("""", [['DIGIT'], ['DIGIT'], ['DIGIT'], ['ALPHA'], ['WAY', 'PRE']]),"
7998,110 E 9TH ST # B LBBY 32,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['LETTER'], ['APT'], ['DIGIT']]),"
8036,1 SAINT IVES COUNTRY CLUB DR,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
8073,25708 W STATE HIGHWAY D,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['LETTER']]),"
8077,1011 US HIGHWAY 22 STE C,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['LETTER']]),"
8088,11242 FM 1960 RD W STE 106,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
8272,2511 N LOOP 1604 W STE 200,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
8338,350 HILL CREST DR U67,"("""", [['DIGIT'], ['WAY'], ['ALPHA'], ['WAY'], ['ALNUM']]),"
8412,501 W CENTRAL TEXAS EXPY APT 4803,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['APT'], ['DIGIT']]),"
8420,2221 E FRONTAGE RD BLDG E STE 101-102,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['ALPHA'], ['LETTER', 'DIR'], ['APT'], ['DIGIT'], ['DIGIT']]),"
8647,4301 W WILLIAM CANNON BLG B ST,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['LETTER'], ['WAY', 'PRE']]),"
8825,12001 SW 128TH CT STE103,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['ALNUM']]),"
8841,1235-A N CLYBOURN AVE,"("""", [['DIGIT'], ['LETTER'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY']]),"
8843,220-222 S 1ST ST,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
9010,101 N 1200 E STE A1,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['ALNUM']]),"
9030,2201 S HALSTEAD 2-3N,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['AL_1NUM', 'NUMSTR']]),"
9039,123 12TH AVE COLUMBUS,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['ALPHA']]),"
9112,11275 US HIGHWAY 98 W STE 6-102,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['DIGIT'], ['DIGIT']]),"
9152,4900 N LITCHFIELD ROAD BYP STE A,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['ALPHA'], ['APT'], ['LETTER']]),"
9177,1101 W 110TH STEE,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['ALPHA']]),"
9182,3914 30TH STREET SAN DIEGO,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['PRE'], ['ALPHA']]),"
9212,10000 COORS BYPASS NW STE G201,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIR'], ['APT'], ['ALNUM']]),"
9235,250 RANCHO DEL ORO DR APT 8,"("""", [['DIGIT'], ['ALPHA'], ['ARTI'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]),"
9249,BRG 60 BROADWAY,"("""", [['ALPHA'], ['DIGIT'], ['ALPHA']]),"
9330,3485 ORANGE GROVE AVE STE E,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER', 'DIR']]),"
9357,2000 RIVERCHASE GALLERIA STE 158C,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
9441,1555 S HAVANA ST UNIT HJ,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['ALPHA']]),"
9444,27292 CALLE ARROYO STE A,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['APT'], ['LETTER']]),"
9464,2401 W STATE ROAD 434 STE 141,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]),"
9501,809-B CUESTA DR # 2175,"("""", [['DIGIT'], ['LETTER'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
9613,805 PEACHTREE ST NE STE L-17,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['DIR'], ['APT'], ['LETTER'], ['DIGIT']]),"
9635,600 S PARKWAY E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['LETTER', 'DIR']]),"
9733,4705 HIGHWAY 6 N # A,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['POUND'], ['LETTER']]),"
9807,15880 SAN CARLOS BLVD ST 190,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['WAY'], ['WAY', 'PRE'], ['DIGIT']]),"
9836,1522 N 77 SUNSHINE STRIP,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['ALPHA'], ['ALPHA']]),"
9857,6417 FAUNTLEROY WAY SW STE E,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['LETTER', 'DIR']]),"
9858,225 THE CROSSROADS BLVD # 372,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
9860,1053 12 MILE RD NW,"("""", [['DIGIT'], ['DIGIT'], ['ALPHA'], ['WAY'], ['DIR']]),"
9905,4400 SHARON RD FOODCOURT VC08,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['ALNUM']]),"
9924,5951 SOUTH LOOP E UNIT 3,"("""", [['DIGIT'], ['DIR'], ['ALPHA'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
9979,4545 LA JOLLA VILLAGE DR STE E25,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['ALNUM']]),"
10007,7845 COLONY RD STE C4 212,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM'], ['DIGIT']]),"
10094,737 S LEMAY AVESTE B4 PMB,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALNUM'], ['APT']]),"
10104,220 HIGHWAY A1A,"("""", [['DIGIT'], ['WAY'], ['ALNUM']]),"
10139,13503 HWY 59 SOUTH B,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['DIR'], ['LETTER']]),"
10198,1869 HIGHWAY 45 BYP STE 1,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALPHA'], ['APT'], ['DIGIT']]),"
10291,316B ESSEX ST APT 2,"("""", [['AL_1NUM', 'NUMSTR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['DIGIT']]),"
10353,8205 CAMP BOWIE WEST BLVD STE 201,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIR'], ['WAY'], ['APT'], ['DIGIT']]),"
10365,1385 HWY 20  W,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR']]),"
